Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"activity-ktx@1.8.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"fragment-ktx@1.8.9"
"activity@1.8.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"activity-ktx@1.8.1, appcompat@1.7.1, fragment@1.8.9, material@1.13.0"
"annotation-experimental@1.5.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core@1.18.0, fragment@1.8.9, graphics-shapes-android@1.0.1, room-runtime-android@2.8.4, material@1.13.0"
"annotation-jvm@1.9.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"annotation@1.9.1"
"annotation@1.9.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"activity@1.8.1, appcompat-resources@1.7.1, appcompat@1.7.1, core-common@2.2.0, core-runtime@2.2.0, cardview@1.0.0, collection-jvm@1.5.0, concurrent-futures@1.1.0, coordinatorlayout@1.2.0, core-ktx@1.18.0, core@1.18.0, cursoradapter@1.0.0, customview@1.1.0, drawerlayout@1.1.1, emoji2@1.3.0, fragment@1.8.9, graphics-shapes-android@1.0.1, interpolator@1.0.0, lifecycle-common-java8@2.6.2, lifecycle-common@2.6.2, lifecycle-process@2.6.2, lifecycle-runtime-ktx@2.6.2, lifecycle-runtime@2.6.2, lifecycle-viewmodel-savedstate@2.6.2, lifecycle-viewmodel@2.6.2, loader@1.0.0, profileinstaller@1.3.1, recyclerview@1.2.1, resourceinspection-annotation@1.0.1, room-common-jvm@2.8.4, room-runtime-android@2.8.4, savedstate@1.2.1, sqlite-android@2.6.2, sqlite-framework-android@2.6.2, startup-runtime@1.1.1, swiperefreshlayout@1.1.0, tracing@1.2.0, transition@1.7.0, vectordrawable@1.1.0, versionedparcelable@1.1.1, viewpager@1.0.0, viewpager2@1.0.0, hermes-android@250829098.0.14, material@1.13.0"
"appcompat-resources@1.7.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"appcompat@1.7.1"
"appcompat@1.7.1","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"constraintlayout@2.1.0, material@1.13.0, react-native-gesture-handler@unspecified, react-native-screens@unspecified"
"core-common@2.2.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"core-runtime@2.2.0, lifecycle-livedata-core@2.6.2, lifecycle-livedata@2.6.2, lifecycle-runtime@2.6.2, savedstate@1.2.1"
"core-runtime@2.2.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"lifecycle-livedata-core@2.6.2, lifecycle-livedata@2.6.2, lifecycle-runtime@2.6.2, room-runtime-android@2.8.4"
"cardview@1.0.0","Maven - transitive","upload/upload/bom","H:0 M:0 L:0","Apache-2.0",No,"material@1.13.0"
