Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"core@7.29.7","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"preset-env@7.29.7","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"runtime@7.29.7","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"cyclonedx-npm@6.0.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","Apache-2.0",No,Direct
"async-storage@3.1.1","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"cli-platform-android@20.1.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"cli-platform-ios@20.1.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"cli@20.1.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"masked-view@0.3.2","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"material-design-icons@13.1.2","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"babel-preset@0.86.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"eslint-config@0.86.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"metro-config@0.86.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"new-app-screen@0.86.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"typescript-config@0.86.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"bottom-tabs@7.18.13","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"devtools@7.1.10","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"drawer@7.13.4","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"elements@2.9.35","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"material-top-tabs@7.6.12","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"native-stack@7.18.5","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"native@7.3.13","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"babel-preset-metro-react-native@4.0.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"cli@2.0.2","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"metro-config@2.2.4","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"metro-resolver-symlinks@0.3.1","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"controls-plugin@1.13.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"file-system-plugin@1.13.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"metro@1.13.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
"mmkv-plugin@1.13.0","npm - direct","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,Direct
